0x025f:  3e | af=c380 bc=0000 de=ff56 hl=0b8f sp=dffb pc=025f | cnt=74 lcdc=91 ly=91
0x0261:  e0 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dffb pc=0261 | cnt=70 lcdc=91 ly=91
0x0263:  e0 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dffb pc=0263 | cnt=64 lcdc=91 ly=91
0x0265:  e0 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dffb pc=0265 | cnt=58 lcdc=91 ly=91
0x0267:  e0 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dffb pc=0267 | cnt=52 lcdc=91 ly=91
0x0269:  c9 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dffb pc=0269 | cnt=46 lcdc=91 ly=91
0x039a:  c9 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dffd pc=039a | cnt=38 lcdc=91 ly=91
0x045c:  cd | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dfff pc=045c | cnt=30 lcdc=91 ly=91
0x0b79:  cd | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dffd pc=0b79 | cnt=18 lcdc=91 ly=91
0x074b:  cd | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dffb pc=074b | cnt=6 lcdc=91 ly=91
0x07ee:  f5 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dff9 pc=07ee | cnt=228 lcdc=91 ly=92
0x07ef:  cd | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dff7 pc=07ef | cnt=220 lcdc=91 ly=92
0x073a:  c5 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dff5 pc=073a | cnt=208 lcdc=91 ly=92
0x073b:  01 | af=ff80 bc=0000 de=ff56 hl=0b8f sp=dff3 pc=073b | cnt=200 lcdc=91 ly=92
0x073e:  03 | af=ff80 bc=fb1e de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=194 lcdc=91 ly=92
0x073f:  78 | af=ff80 bc=fb1f de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=190 lcdc=91 ly=92
0x0740:  b1 | af=fb80 bc=fb1f de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=188 lcdc=91 ly=92
0x0741:  28 | af=ff00 bc=fb1f de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=186 lcdc=91 ly=92
0x0743:  f0 | af=ff00 bc=fb1f de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=182 lcdc=91 ly=92
0x0745:  fe | af=9200 bc=fb1f de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=176 lcdc=91 ly=92
0x0747:  20 | af=9240 bc=fb1f de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=172 lcdc=91 ly=92
0x073e:  03 | af=9240 bc=fb1f de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=166 lcdc=91 ly=92
0x073f:  78 | af=9240 bc=fb20 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=162 lcdc=91 ly=92
0x0740:  b1 | af=fb40 bc=fb20 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=160 lcdc=91 ly=92
0x0741:  28 | af=fb00 bc=fb20 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=158 lcdc=91 ly=92
